"date","value","topic","variable_oldname","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-02,6272,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,531,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,4796,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,467,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,4411,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,2468,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,363,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,136,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,1860,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-02,169,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
